"report-drag-rfile"
"Iteration" "report-drag"
("Iteration" "report-drag")
1 100.7752583214469
2 72.29385433711153
3 60.22409599311314
4 50.14255132175177
5 43.7433316454284
6 39.5332987957707
7 35.9694496548652
8 33.47942607086043
9 31.39395558904947
10 29.87230092347346
11 28.63445071471603
12 27.73100907249711
13 27.05358586889878
14 26.57995022119967
15 26.25167112935224
16 26.03799287535081
17 25.90248514643337
18 25.82190805937205
19 25.78249599231478
20 25.7678989772078
21 25.76910312619521
22 25.77771723627627
23 25.7929064725319
24 25.81006066567238
25 25.82887994306867
26 25.84800666118976
27 25.86663853764732
28 25.88337732536039
29 25.89935991323829
30 25.91368904970594
31 25.92691894847959
32 25.93854054005953
33 25.94886658873986
34 25.95773364349822
35 25.96539550861851
36 25.97181563765036
37 25.97721511641408
38 25.98165039495883
39 25.98528919453589
40 25.98822609566765
41 25.99058631491965
42 25.99245829548153
43 25.99393491082478
44 25.9950883265884
45 25.99598308109869
46 25.9966647523972
47 25.99719266543084
48 25.99758764176251
49 25.99788072463206
50 25.99809934185302
51 25.99825731146888
