"report-def-0-rfile"
"Iteration" "report-def-0"
("Iteration" "report-def-0")
1 -689.7415209314037
2 -669.4315085019914
3 -657.718726126345
4 -684.0314302261995
5 -725.6481467642985
6 -773.747126153844
7 -825.8852890602038
8 -872.5946842527015
9 -914.1880506639275
10 -950.5975940785604
11 -984.0861107932076
12 -1012.683503870034
13 -1036.742061756123
14 -1056.064050107161
15 -1071.693998438424
16 -1087.609696497777
17 -1101.8774389942
18 -1113.658246200824
19 -1124.764692920174
20 -1132.531947433891
21 -1139.01835953359
22 -1146.458330150941
23 -1151.202305080048
24 -1153.220614067383
25 -1156.357709870257
26 -1159.324952429981
27 -1161.819465131006
28 -1164.047361170021
29 -1165.749313239605
30 -1167.268776588959
31 -1168.141710331323
32 -1168.728990161217
33 -1169.208886527505
34 -1169.900331989934
35 -1170.105604415426
36 -1170.530908897014
37 -1170.857139107742
38 -1171.103835757515
39 -1171.384406839464
40 -1171.514057399773
41 -1171.6205016724
42 -1171.797293888508
43 -1171.863034493638
44 -1171.984802389517
45 -1172.069494558878
46 -1172.117556819619
47 -1172.210141239555
48 -1172.246118816486
49 -1172.308775196324
50 -1172.35378803117
51 -1172.389678930546
52 -1172.429579509511
53 -1172.45625221997
54 -1172.474402959393
55 -1172.505882495978
56 -1172.526891241333
57 -1172.553482988058
58 -1172.574137894445
59 -1172.59374736462
60 -1172.606153291873
61 -1172.621104341328
62 -1172.628733884343
63 -1172.63903826979
64 -1172.647717421119
65 -1172.65825030272
66 -1172.663586470226
