"report-lift-rfile"
"Iteration" "report-lift"
("Iteration" "report-lift")
1 -448.2676197838517
2 -463.2168453080338
3 -463.8849577615965
4 -485.334993377024
5 -513.2948451422405
6 -544.436335174385
7 -577.1835192378835
8 -606.5126371414063
9 -632.5413928849327
10 -655.2934146728924
11 -676.1012762535876
12 -693.8628138258333
13 -708.8424650475222
14 -720.8418600130553
15 -730.5658263081303
16 -740.3470669089157
17 -749.132512056418
18 -756.3854417186664
19 -763.2118267924079
20 -767.9784878884922
21 -771.9573712770506
22 -776.4704402343614
23 -779.3540332170593
24 -780.6298751796603
25 -782.498543595503
26 -784.2931133643377
27 -785.7670276455264
28 -787.1077444805638
29 -788.1165397326312
30 -789.023144839388
31 -789.5421201329898
32 -789.8834582782284
33 -790.1657039734633
34 -790.5712070531363
35 -790.6921096267299
36 -790.9372576513066
37 -791.1325042827821
38 -791.2751708213234
39 -791.4431464046984
40 -791.5192083040288
41 -791.5843243282631
42 -791.6892563588776
43 -791.7304785919645
44 -791.8030392140454
45 -791.8564874429092
46 -791.8866980546254
47 -791.9438790590564
48 -791.967298557747
49 -792.0065573661143
50 -792.0358426402878
51 -792.0592645767726
52 -792.0849141529681
53 -792.1026522582276
54 -792.1152988642257
55 -792.1353325789046
56 -792.1493811193036
57 -792.1662888770898
58 -792.1799125417851
59 -792.1923817921656
60 -792.200761417391
61 -792.2103117805129
62 -792.2156230750506
63 -792.2222376680228
64 -792.2279668914041
65 -792.2345511541304
66 -792.2381936125308
