"report-def-0-rfile"
"Iteration" "report-def-0"
("Iteration" "report-def-0")
1 -439.8073470602997
2 -799.0227021074653
3 -1015.718352761333
4 -1080.823940081077
5 -1057.774921329067
6 -989.1408662340879
7 -907.1448042514052
8 -843.0947832312891
9 -813.3847581273282
10 -823.5734477175043
11 -867.5192760974132
12 -932.5847628197723
13 -1002.218973749846
14 -1065.949811586401
15 -1118.330983486986
16 -1158.428158078244
17 -1188.081464973259
18 -1210.21064191353
19 -1226.367143171803
20 -1238.04425027821
21 -1246.624141207009
22 -1253.511677994071
23 -1259.728663261212
24 -1265.750666404331
25 -1271.59268728366
26 -1277.034510350937
27 -1281.857138056739
28 -1285.963283682087
29 -1289.362725268232
30 -1292.130641806026
31 -1294.355948235239
32 -1296.121970506029
33 -1297.508255497926
34 -1298.581476210145
35 -1299.404444078075
36 -1300.036322195159
37 -1300.526756693727
38 -1300.914227828301
39 -1301.225827004184
40 -1301.479250160521
41 -1301.68575245699
42 -1301.853405331336
43 -1301.988543429109
44 -1302.096215220354
45 -1302.181007659931
46 -1302.246851719535
47 -1302.297302301653
48 -1302.335162005694
49 -1302.362775850075
50 -1302.382480403174
51 -1302.396161267069
52 -1302.405398669582
53 -1302.411434504493
54 -1302.415206842242
55 -1302.417394944395
56 -1302.418481263021
57 -1302.418806974529
58 -1302.418663066812
59 -1302.418260525331
60 -1302.417694819318
61 -1302.417028574269
62 -1302.416262005494
63 -1302.41540666105
64 -1302.414515116233
65 -1302.413610566108
66 -1302.412724287362
67 -1302.411880640085
68 -1302.411099398696
69 -1302.410393771222
70 -1302.409770847366
71 -1302.409231591819
72 -1302.408772375796
73 -1302.408386131802
74 -1302.408064022928
75 -1302.407796629305
76 -1302.407574961088
