"report-lift-rfile"
"Iteration" "report-lift"
("Iteration" "report-lift")
1 -226.2105245251336
2 -303.1974607429146
3 -365.6106858074329
4 -401.8978972870838
5 -426.1804409482958
6 -442.857661746588
7 -455.7839562207151
8 -465.4870236156253
9 -473.3130556661741
10 -479.4453921955845
11 -484.5049687109356
12 -488.5451684979935
13 -491.8571087431552
14 -494.4295377593007
15 -496.4684567759181
16 -498.1210498045164
17 -499.4742205513037
18 -500.5326157899664
19 -501.3893408109236
20 -502.0773071693334
21 -502.6564471714887
22 -503.2113542599281
23 -503.7408359232844
24 -504.2655897049549
25 -504.7746622153936
26 -505.2683617599153
27 -505.735756073612
28 -506.151786784669
29 -506.5236300604755
30 -506.8615686181626
31 -507.1585675118254
32 -507.4212448438806
33 -507.648227879309
34 -507.8449100620157
35 -508.0122396168965
36 -508.1552231941716
37 -508.2753891209621
38 -508.376891185429
39 -508.4617074457145
40 -508.5330531370806
41 -508.5926443851015
42 -508.6426461780962
43 -508.6843683395547
44 -508.7192422665626
45 -508.7484111895068
46 -508.7729245591099
47 -508.7935994293939
48 -508.8111464059248
49 -508.8261793041023
50 -508.8391641179445
51 -508.8504930645053
52 -508.8605100879369
53 -508.8695030233742
54 -508.8777002364185
55 -508.8852690891133
56 -508.8923310675739
57 -508.8989806246564
58 -508.9052814109649
59 -508.911273517942
60 -508.9169831626668
61 -508.9224234205992
62 -508.9276140727657
63 -508.9325432877
64 -508.9371845237338
65 -508.9415363706929
66 -508.9456084458654
67 -508.9494010120677
68 -508.9529035561143
69 -508.9561006188497
70 -508.9589726831592
71 -508.9614841090283
72 -508.9636243562906
73 -508.9654023567176
74 -508.9668411453738
75 -508.9679650658246
76 -508.9688005996612
77 -508.9693782073688
78 -508.9697278242201
79 -508.9698752612913
80 -508.9698365124885
81 -508.9696235460867
82 -508.9692743388523
