"report-def-0-rfile"
"Iteration" "report-cl"
("Iteration" "report-cl")
1 -1.1354794386675
2 -1.584938660008673
3 -1.985619514960224
4 -2.253186689082499
5 -2.458391110876506
6 -2.607900542124424
7 -2.722022840994671
8 -2.805854183756532
9 -2.867567690329745
10 -2.911068668604611
11 -2.941453810095429
12 -2.96170105548199
13 -2.974529463491494
14 -2.982038806603753
15 -2.985771732178188
16 -2.986975884397491
17 -2.986428775171855
18 -2.984837330337815
19 -2.98265648648575
20 -2.980200232048258
21 -2.977639441671673
22 -2.975158569295735
23 -2.972841517189356
24 -2.970756323797082
25 -2.968927268503912
26 -2.967351031051003
27 -2.965998377058663
28 -2.964875232090211
29 -2.963960914650735
30 -2.96323898685188
31 -2.962682393899166
32 -2.962268789880108
33 -2.961972330141548
34 -2.961772130753784
35 -2.961648071913422
36 -2.961583085201164
37 -2.961562533951455
38 -2.961574783152835
39 -2.961609925483454
40 -2.961660421152875
41 -2.96172035295071
42 -2.961785199673756
43 -2.961851660348461
44 -2.961917338259195
45 -2.96198063779729
46 -2.962041153746018
47 -2.962098075093217
48 -2.962150624180561
49 -2.962198705597478
50 -2.962242237105315
51 -2.9622814391606
