"report-cl-rfile"
"Iteration" "report-cl"
("Iteration" "report-cl")
1 -0.2479315339805642
2 -0.6837820406134535
3 -1.148312142419881
4 -1.518917472213913
5 -1.779666139298754
6 -1.911127674767458
7 -1.942295405033237
8 -1.907853940577353
9 -1.825834784376431
10 -1.726850675327295
11 -1.640236506440524
12 -1.577876178488601
13 -1.540705793728359
14 -1.52022846951352
15 -1.50802605102763
16 -1.497513477941756
17 -1.485973485982771
18 -1.473599431757685
19 -1.461839149118763
20 -1.451928996927748
21 -1.443986104045381
22 -1.437765590504578
23 -1.43267778353666
24 -1.428429857489791
25 -1.424964061083379
26 -1.42219688822116
27 -1.42012516133981
28 -1.418546607988582
29 -1.417276358849004
30 -1.416176597290183
31 -1.415148403533912
32 -1.414210438585329
33 -1.413379710187748
34 -1.412685434687534
35 -1.412129452248161
36 -1.411691319488334
37 -1.411341935035136
38 -1.411054226824573
39 -1.41080707408894
40 -1.410591585510607
41 -1.410407491358076
42 -1.410252476462389
43 -1.410120490463171
44 -1.410006232685519
45 -1.409908311730236
46 -1.40982240198928
47 -1.409744084217289
48 -1.409676741507309
49 -1.409620608429384
50 -1.409572803342806
51 -1.409531888748331
52 -1.409496577445845
53 -1.409465591396098
54 -1.409438227948459
