"report-cl-rfile"
"Iteration" "report-cl"
("Iteration" "report-cl")
1 -1.009910630485778
2 -0.8337196668068606
3 -0.8090871844055935
4 -0.8426624242783743
5 -0.8968094271937546
6 -0.946134294026283
7 -0.987615105501997
8 -1.01952436730533
9 -1.043410620896579
10 -1.06102422346661
11 -1.073814204086814
12 -1.083319498895685
13 -1.090175579415154
14 -1.095280525661609
15 -1.098946313960429
16 -1.101633396551902
17 -1.103592746339364
18 -1.105018511683635
19 -1.106064451570735
20 -1.106822176595605
21 -1.1073788001475
22 -1.107778992095347
23 -1.108082291228381
24 -1.108304578843389
25 -1.108470855551489
26 -1.108592543993301
27 -1.108685911906416
28 -1.108753965625624
29 -1.108803562302959
30 -1.108843052229369
31 -1.10887022100362
32 -1.108892143087233
33 -1.108907210841131
34 -1.108918762946685
35 -1.108927297128874
36 -1.108933806859882
37 -1.108938822065594
38 -1.108942524715425
39 -1.108945386504413
40 -1.108947554367043
41 -1.108949244843841
42 -1.108950365236394
43 -1.108951802377373
44 -1.108965407591559
45 -1.108964085977972
46 -1.108958738545228
